id_localita;localita
2657832;Aberdeen
2657789;Aberporth
2656955;Ashford
6301528;Barkston Heath Royal Air Force Base
8299866;Barra
2655984;Belfast
8299868;Benbecula
2655886;Benson
2655690;Biggin Hill
2655603;Birmingham
2655537;Bitteswell
2655459;Blackpool
2655146;Boscombe
2655138;Boston
2655108;Boulmer
2655095;Bournemouth
2655009;Bracknell
2654675;Bristol
2654659;Brize Norton
2653941;Cambridge
2653915;Campbeltown
2653822;Cardiff
2653775;Carlisle
2653115;Chivenor
2653040;Church Fenton
2652585;Colerne
2652461;Coningsby
2652296;Cosford
2652264;Cottesmore
2652221;Coventry
2652087;Cranfield
2652075;Cranwell
6296583;Culdrose
2643736;Derry
2650752;Dundee
2650225;Edinburgh
2650023;Ely
2649808;Exeter
2648579;Glasgow
2648404;Gloucester
2647303;Hawarden
2647097;Henlow
2646787;Holbeach
6296606;Humberside Airport
2646088;Inverness
8299862;Isle of Islay
8299858;Isles of Scilly
2645838;Kemble
2645720;Kidwelly
2645388;Kinloss
2645198;Kirkwall
2644720;Leavesden Green
2644710;Leconfield
2644688;Leeds
2644682;Leeming Bar
2644210;Liverpool
2644176;Llanbedr
2643743;London
6296598;London Gatwick Airport
2643587;Lossiemouth
2643339;Luton
2643327;Lydd
2643298;Lyneham
2643123;Manchester
2643044;Margate
2642572;Middle Winterslow
2641792;Netheravon
2641673;Newcastle upon Tyne
2641529;Newton Solney
2641290;Northolt
2641181;Norwich
2641079;Odiham
2640358;Perth
2640194;Plymouth
2639896;Prestwick
2638727;Saint Mawgan
2638568;Sandown
2638534;Sandwick
2638428;Scampton
2638111;Shawbury
2637916;Shoreham-by-Sea
2637487;Southampton
2637433;Southend-on-Sea
2637052;Stansted
2636790;Stornoway
2636432;Swansea
2636321;Tain
2636095;Ternhill
8299869;Tiree
2635162;Upavon
2635022;Valley
2634923;Waddington
2634663;Wattisham
2634620;Wedder Holm
2634283;West Raynham
2634202;Weymouth
2633982;Wick
2633727;Wittering
